127.0.0.1 - - [30/May/2026 09:31:27] "HEAD /login.html HTTP/1.1" 200 -
127.0.0.1 - - [30/May/2026 09:31:36] "GET /login.html HTTP/1.1" 200 -
127.0.0.1 - - [30/May/2026 09:31:36] "GET /js/supabase.js HTTP/1.1" 200 -
127.0.0.1 - - [30/May/2026 09:31:36] "GET /css/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [30/May/2026 09:31:36] "GET /js/auth.js HTTP/1.1" 200 -
127.0.0.1 - - [30/May/2026 09:32:33] "GET /login.html HTTP/1.1" 200 -
127.0.0.1 - - [30/May/2026 09:32:33] "GET /css/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [30/May/2026 09:32:33] "GET /js/auth.js HTTP/1.1" 200 -
127.0.0.1 - - [30/May/2026 09:32:33] "GET /js/supabase.js HTTP/1.1" 200 -
127.0.0.1 - - [30/May/2026 09:37:04] "GET /login.html HTTP/1.1" 200 -
127.0.0.1 - - [30/May/2026 09:37:04] "GET /js/auth.js HTTP/1.1" 200 -
127.0.0.1 - - [30/May/2026 09:37:04] "GET /js/supabase.js HTTP/1.1" 200 -
127.0.0.1 - - [30/May/2026 09:37:04] "GET /css/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [30/May/2026 10:02:53] "GET /login.html HTTP/1.1" 200 -
127.0.0.1 - - [30/May/2026 10:02:53] "GET /css/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [30/May/2026 10:02:53] "GET /js/supabase.js HTTP/1.1" 200 -
127.0.0.1 - - [30/May/2026 10:02:53] "GET /js/auth.js HTTP/1.1" 200 -
127.0.0.1 - - [30/May/2026 10:02:56] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [30/May/2026 10:02:56] "GET /js/player.js HTTP/1.1" 200 -
127.0.0.1 - - [30/May/2026 10:02:56] "GET /js/playlists.js HTTP/1.1" 200 -
127.0.0.1 - - [30/May/2026 10:02:59] "GET /adminUsers.html HTTP/1.1" 200 -
